City,Web Temperature,API Temperature,Average Temperature,Discrepancy
Rome,23.0,15.25,19.125,7.75
Bangkok,28.0,32.19,30.095,4.189999999999998
Bangkok,28.0,30.53,29.265,2.530000000000001
Sydney,19.0,16.51,17.755000000000003,2.4899999999999984
Moscow,8.0,10.44,9.219999999999999,2.4399999999999995
Vienna,14.0,16.38,15.19,2.379999999999999
Sydney,19.0,16.82,17.91,2.1799999999999997
Paris,18.0,20.18,19.09,2.1799999999999997

Summary Statistics
Mean Discrepancy,1.1763157894736842
Max Discrepancy,7.75
Min Discrepancy,0.0
